Titr,Lead,Date,Time,Tags
                 مردان بالای ۴۰ سال این موادغذایی را نخورند             ,                  حفظ تعادل در رژیم غذایی در هر سنی ضروری است، اما شاید لازم باشد از ۴۰ سالگی به بعد بخواهید به منظور ارتقای سلامت بدن، به طور جدی‌تری روی برنامه غذایی خود نظارت داشته باشید.                  ,"[28, 5, 2023]","[9, 50]","['مردان', 'سلامتمردان', 'رژیمغذایی', 'موادغذایی']"
                 پایان زورگیری‌های خشن سارق  در قرچک             ,                  فرمانده انتظامی شهرستان قرچک از دستگیری یک نفر سارق زورگیر و کشف 8 فقره سرقت در این شهرستان خبر داد.                  ,"[30, 5, 2023]","[15, 31]","['سرهنگیدالهطهماسیان', 'قرچک', 'زورگیری']"
                 کنکور‌ی‌ها نسبت به پارسال ۲۴ درصدآب رفتند!             ,                  کنکور در سال‌های اخیر نسبت به دو دهه گذشته محبوبیت و گستردگی خود را از دست داده است. کنکور سال ۱۴۰۲ نسبت به سال ۱۴۰۱، با کاهش ۲۴ درصدی و به عبارت دیگر با کاهش ۳۶۹ هزار و ۷۸۶ نفری داوطلبان همراه بوده است.                  ,"[6, 7, 2023]","[10, 30]","['کنکورسراسری', 'کنکور1402', 'داوطلبانکنکور', 'تغییراتکنکور']"
                 مردم خودشان ارز بیاورند و خودرو وارد کنند             ,                  عضو کمیسیون صنایع مجلس با بیان اینکه برای واردات خودرو، ما به ارز دولتی نیاز نداریم، گفت: توصیه ما این است که دولت اجازه دهد در این زمینه مردم آزاد باشند و خودشان ارز بیاورند و خودرو وارد کنند.                  ,"[18, 6, 2023]","[13, 4]","['مرضیهثمره\u200cحسینی', 'لطف\u200cالهسیاهکلی', 'وارداتخودرو']"
                 مرغ در بازار و میادین کیلویی چند عرضه می شود؟             ,                  مدیرکل بازرسی و نظارت بر کالاهای اساسی وزارت جهاد کشاورزی با بیان اینکه مصرف گوشت مرغ در تهران روزانه بین ۱۲۰۰ تا ۱۳۰۰ تن است، گفت: این میزان مرغ هم از طریق بازارچه‌های میادین تره‌بار و هم از طریق فروشگاه‌های عرضه مرغ در اختیار مردم قرار می‌گیرد.                  ,"[4, 7, 2023]","[13, 29]","['مسعودامرالهی', 'مرغ', 'بازارمرغ']"
                 تهران آماده انفجار است!             ,                  مرکز پژوهش‌های مجلس با انتشار داده‌های مهمی از وجود یک تهدید جدی در خصوص تاب‌آوری شهر تهران خبر داده است. این نهاد کارشناسی با تمرکز روی مفهوم «ظرفیت بُرد شهری» توصیه کرده است از بارگذاری بیشتر جمعیتی در تهران پرهیز شود.                  ,"[24, 5, 2023]","[10, 32]","['تهران', 'کلانشهر', 'جمعیت', 'مهاجرت', 'محیطزیست']"
                 زمان اعلام نتایج نهایی آزمون کارشناسی ارشد             ,                  مشاور رئیس و مدیرکل روابط عمومی سازمان سنجش آموزش کشور گفت: از میان ۳۵۵ هزار داوطلب مجاز در آزمون کارشناسی ارشد سال ۱۴۰۲ بیش از ۲۰۰ هزار نفر انتخاب رشته کردند.                  ,"[12, 6, 2023]","[10, 22]","['سازمانسنجش', 'کارشناسیارشد', 'اعلامنتایج']"
                 عراق قرارداد خرید ۱۲ فروند جنگنده با پاکستان امضا کرد             ,                  - منابع عراقی از امضای قرارداد خرید ۱۲ فروند جنگنده JF-۱۷ Thunder از پاکستان خبر دادند.                  ,"[10, 7, 2023]","[17, 12]","['پاکستان', 'عراق', 'چنگدو']"
                 مهریه جالب یک پزشک در اصفهان             ,                  یک پزشک خانم در اصفهان در اقدامی جالب مهریه خود را از همسر پزشکش ویزیت رایگان بیماران بی بضاعت، کمک هزینه تحصیلی دانش آموزان محروم و آزادی زندانیان مطالبه کرد.                  ,"[11, 6, 2023]","[16, 45]","['مهریه', 'پزشک', 'اصفهان']"
                 دختربچه مفقود شده بروجردی به آغوش خانواده برگشت             ,                  دختربچه چهار ساله مفقود شده بروجردی به آغوش خانواده بازگردانده شد.                  ,"[9, 7, 2023]","[8, 23]","['بروجرد', 'هلالاحمر', 'دختربچه', 'مفقودی', 'عملیاتجستجو']"
                 تصاویر سه متهم سرقت مقرون به آزار در کرج             ,                  تصویر سه متهم سرقت مقرون به آزار که در پوشش مسافرکشی اقدام به سوار کردن قربانیان خود کرده و اموال باارزش آن‌ها را با استفاده از سلاح سرد می‌ربودند جهت شناسایی شکات احتمالی با دستور قضایی منتشر شد.                  ,"[22, 5, 2023]","[14, 2]","['سرقت', 'آزار', 'تصاویرمتهمان']"
                 فوتبال فرانسه افسوس مسی را می‌خورد             ,                  لیونل مسی ستاره ۳۵ ساله آرژانتینی پس از دو سال حضور در فوتبال فرانسه و تیم پاری‌سن‌ژرمن در اه بازگشت به تیم بارسلونا قرار دارد.                  ,"[22, 4, 2023]","[21, 34]","['لیونلمسی', 'پاریسنژرمن', 'بایرنمونیخ']"
                 نیویورک‌تایمز: ایران با کمک روسیه، جاسوس را کشف کرد             ,                  نیویورک تایمز نوشت اکبری متهم به لو دادن فردو است.                  ,"[1, 5, 2023]","[17, 25]","['علیرضااکبری', 'نیویورکتایمز', 'جاسوس']"
                 کدام نمادها مشمول فرآیند تعلیق اند؟             ,                  بعد از انتشار مطلبی درباره غمارگ نمادی که مدت ها است متوقف است و متاسفانه پول سهامداران بلوکه شده است، بسیاری از سهامداران این نماد در پیام هایی اعتراض خود را بیان کردند و عنوان کردند که کاش از قبل بسته شدن نماد اطلاع رسانی می کردید! هم اکنون کدام نمادها مشمول فرآیند تعلیق اند و باید مراقب بود؟                  ,"[27, 5, 2023]","[9, 47]","['تعلیق', 'میهن', 'مراقب']"
                 فیلمی که ناصر حجازی حاضر به دستبوسی شاه نشد             ,                  ناصر حجازی اسطوره باشگاه تاج و استقلال، چهره‌ای خاص در تاریخ فوتبال ایران بود. او قبل و بعداز انقلاب آبش با شاه و دولتمردان در یک جوی نرفت و همواره رفتارهای متفاوت از سایر هم‌دوره‌ای هایش بروز داد. ناصر حجازی برای دسترسی به منافع  شخصی مقابل قدرت سر خم نکرد و با آنکه لیاقتش را داشت هیچگاه سرمربی تیم ملی نشد. فیلمی از دیدار شاه با اعضای تیم ملی منتشر شده که ناصر حجازی برخلاف همه همبازیانش، حاضر نشد خم شود و دست شاه را ببوسد                  ,"[23, 5, 2023]","[14, 5]","['ناصرحجازی', 'دستبوسی', 'محمدرضاشاه']"
                 زمان تحویل خودروهای وارداتی مشخص شد             ,                  پس از مدت ها از آغاز فرایند واردات و ترخیص خودروها از گمرک های کشور، زمان تحویل اولین سری خودروهای وارداتی به مشتریان مشخص شد.                  ,"[2, 7, 2023]","[20, 40]","['وارداتخودرو', 'خودروهایوارداتی', 'سامانهیکپارچهفروشخودرو']"
                 متوقف شدن کاشت حلزون برای ناشنوایان             ,                  کودکان و نوجوانانی که تعداد آنها بیش از ۱۵۰ نفر است و به وسیله کاشت حلزون می‌شنیدند الان ۳ ماه است که در سکوت کامل زندگی می‌کنند.                  ,"[5, 7, 2023]","[8, 44]","['حلزونگوش', 'کاشتحلزون', 'کودکان', 'ناشنوایان']"
                 زمان عرضه اولیه آسیاناما اعلام شد             ,                  ۱۲ درصد سهام شرکت تولیدی مخازن گاز طبیعی آسیا ناما در نماد «ناما» به عنوان هشتمین عرضه امسال، به روش حراج در فرابورس عرضه می‌شود. جزییات و میزان نقدینگی این عرضه اولیه را در این مطلب بخوانید.                  ,"[3, 7, 2023]","[9, 39]","['عرضهاولیه', 'فرابورس', 'زمان']"
                 خبر مهم برای بازنشستگان/ حقوق‌ها تغییر می‌کند             ,                  مدیرعامل صندوق بازنشستگان کشور گفت: ۹ هزار میلیارد تومان بودجه در قالب مناسب سازی حقوق بازنشستگان تا پایان تیرماه تعیین تکلیف می‌شود.                  ,"[6, 7, 2023]","[13, 23]","['نعمتاللهترکی', 'کانونبازنشستگان', 'بازنشستگان']"
                 داستان سقوط غیرمنتظره ارزش لیر             ,                  - قیمت لیر ترکیه در سال ۱۴۰۲ برای نخستین‌بار به زیر دو هزار تومان سقوط کرده است؛ این اتفاق روز یکشنبه چهارم تیرماه رخ داد و لیر با رسیدن به پله هزار و ۹۸۰ تومان، ضمن لمس کف قیمت سال، دقیقا با همان وضعیتی روبرو شد که در بیستمین روز از آذر سال ۱۴۰۱ تجربه کرده بود.                  ,"[26, 6, 2023]","[17, 37]","['حافظگیارکان', 'بانکمرکزی', 'ترکیه', 'ارزشلیر']"
                 فقط ۷۲ ساعت تا اتفاق خوش ارزی برای ایران             ,,"[2, 6, 2023]","[14, 28]","['احسانعلیخانی', 'تابناکباتو', 'جنابخان']"
                 جزئیات حوادث امروز صبح زاهدان             ,                  معاون امنیتی و انتظامی استانداری سیستان و بلوچستان با بیان اینکه عوامل تروریستی نتوانستند به کلانتری ۱۶ زاهدان وارد شوند گفت: در حال حاضر با حضور به موقع نیرو‌های امنیتی اوضاع تحت کنترل است.                  ,"[8, 7, 2023]","[10, 50]","['زاهدان', 'کلانتری', 'حملهتروریستی']"
                 واکنش ایلان ماسک به ارسال بمب‌ خوشه‌ای به اوکراین             ,                  میلیاردر آمریکاییِ مالک شرکت توییتر می‌گوید که آمریکا با تامین بمب خوشه‌ای برای اوکراین، خودش را «به خفت کشاند»!                  ,"[16, 7, 2023]","[14, 54]","['ایلانماسک', 'بمبخوشهای', 'واشنگتن']"
                 در صورت شکست روسیه در جنگ اوکراین چه بلایی سر پوتین می آید؟/زلنسکی: ضدحمله اوکراین آغاز شد/ ساقط شدن جنگنده اوکراینی در منطقه خرسون             ,                  چهارصد و شصت و هفت روز از حمله روسیه به اوکراین با دستور ولادیمیر پوتین، رئیس جمهور این کشور می‌گذرد؛ تهاجمی که رویداد‌های بسیاری به دنبال داشته و منجر به تحریم گسترده روسیه از سوی بلوک غرب شده است و دورنمای مشخصی برای پایان آن نیز وجود ندارد.                  ,"[11, 6, 2023]","[19, 28]","['جنگاوکراین', 'اروپا', 'ناتو', 'آمریکا', 'روسیه', 'چین', 'روسیه', 'چین', 'آمریکا', 'اوکراین', 'جنگ', 'جنگجهانیسوم']"
                 سفره اطعام غدیر در پارک ملت مشهد             ,                  به مناسبت عید سعید غدیر خم سفره اطعام غدیر ظهر جمعه ( ۱۶ تیر ۱۴۰۲ ) به همت آذربایجانی‌های مقیم مشهد در پارک ملت این شهر برپا شد.                  ,"[8, 7, 2023]","[10, 36]","['مشهد', 'پارکملت', 'اطعام', 'عیدغدیر']"
                 تصاویری از طبیعت بهاری هورامان             ,                  تصاویری زیبا از طبیعت بهاری در هورامان استان کردستان را مشاهده می‌کنید.                  ,"[19, 5, 2023]","[12, 0]","['کردستان', 'هورامان', 'طبیعتزیبا', 'طبیعتبهاری']"
                 یک، نماینده: ۹۰ درصد مردم موافق لایحه حجاب هستند             ,                  لایحه پرمناقشه حجاب بالاخره توسط دولت تهیه شده، اما گویا به مجلس ارسال نشده است. لایحه فوق که عمدتا جریمه‌های نقدی را برای حجاب در نظر گرفته مورد انتقاد برخی اصولگرایان نیز قرار گرفته است و خواهان برخورد جدی‌تر با حجاب هستند.                  ,"[4, 6, 2023]","[9, 25]","['مهدیسعادتی', 'نمایندهمجلس', 'لایحهحجاب', 'بیحجابی', 'مجلس', 'قوهقضاییه']"
                 کشف کارگاه تولید روغن خوراکی تقلبی در شهر ری             ,                  فرمانده انتظامی شهرستان ری از شناسایی و کشف کارگاه تولید روغن خوراکی تقلبی، در محدوده امین آباد شهرری خبرداد.                  ,"[25, 5, 2023]","[8, 33]","['شهرری', 'کارگاهغیرمجاز', 'روغنخوراکی', 'روغنتقلبی']"
                 جریان مثبت «نائو»، عامل پربارشی در فصل زمستان             ,                  رئیس مرکز ملی پیش‌بینی و مدیریت بحران مخاطرات وضع هوا با بیان اینکه تاثیرات جریان‌های دور پیوند ثابت نیست و می‌تواند متفاوت باشد، گفت: درصورتی که جریان نائو در فاز مثبت باشد، موجب بارش‌های مناسب زمستانه در ایران می‌شود.                  ,"[5, 7, 2023]","[8, 50]","['اقلیمشناسی', 'بارندگی', 'فصلزمستان', 'پربارشی', 'جریاناتکمفشار']"
                 آغاز امتحانات نهایی از امروز و چند توصیه به دانش‌آموزان             ,                  امتحانات نهایی دانش‌آموزان پایه دوازدهم و همچنین متقاضیان ایجاد سابقه تحصیلی و ترمیم نمره از امروز، یکشنبه، سی و یکم اردیبهشت ماه آغاز می‌شود و تا ۲۵ خرداد ماه ادامه دارد.                  ,"[21, 5, 2023]","[8, 18]","['دانشآموزان', 'امتحانات', 'امتحاناتنهایی']"
                 حواشی استیضاح وزیر صمت؛ از ادعای پس گرفته شدن امضاها تا مانع قانونی برای انتفای استیضاح             ,                  اعلام وصول استیضاح وزیر صمت در اواخر فروردین ماه، حواشی زیادی در پی داشت. در حالی که یک نماینده شب گذشته از منتفی شدن این ماجرا خبر داده بود، نماینده ای دیگر این موضوع را تکذیب کرد. یک عضو کمیسیون صنایع مجلس نیز گفت که هیچ امضایی از استیضاح وزیر صمت پس گرفته نشده و آیین‌نامه اجازه پس‌ گرفتن امضا را نمی‌دهد.                  ,"[24, 4, 2023]","[17, 37]","['وزیرصمت', 'استیضاح', 'مجلسیازدهم']"
                 «تغییر نام» معنادار خیابان جنب سفارت ژاپن در تهران             ,                  نام خیابان جنب سفارت ژاپن در ایران، از خیابان«ب» به خیابان «یامامورا»، یعنی نام مرحوم«کونیکو یامامورا» مادر شهید «محمد بابایی» تغییر یافت. / همشهری آنلاین                  ,"[12, 5, 2023]","[11, 26]","['سبابابایی', 'کونیکویامامورا', 'مادرشهیدژاپنی', 'نامخیابان', 'سفارتژاپن']"
                 نرخ مصوب هرکیلو مرغ زنده و گرم اعلام شد             ,                  دبیرکانون مرغداران گوشتی گفت: با توجه به افزایش هزینه های تولید و کمبود نقدینگی، واحدهای مرغداری با حداقل ظرفیت خود کار نمی کنند.                  ,"[11, 7, 2023]","[16, 10]","['مرغدارانگوشتی', 'مرغگرم', 'گوشتسفید']"
                 زمان اعلام نتایج اولیه کنکور ارشد             ,                  مشاور رئیس و مدیرکل روابط عمومی سازمان سنجش آموزش کشور اظهار داشت: نتایج اولیه آزمون کارشناسی ارشد ناپیوسته سال ۱۴۰۲ دهه اول خردادماه ۱۴۰۲ در سایت سازمان سنجش منتشر می‌شود و پس از آن شرایط انتخاب رشته برای داوطلبان مجاز اعلام می‌شود.                  ,"[17, 5, 2023]","[19, 23]","['دکترعلیرضاکریمیان', 'سازمانسنجشکشور', 'دانشگاهتهران']"
                 غرق شدن بامزه معلم در برف شادی در روز معلم             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «بیانات مهم رهبر انقلاب در دیدار با معلمان سراسر کشور»، «هدیه رئیسی به معلمان به مناسبت روز معلم ۱۴۰۲»، «با این متن‌های زیبا به معلم خود تبریک بگویید»، «حمیدرضا الداغی کیست؟»، «حکایتی طنزآمیز از سعدی؛ جور استاد به ز مهر پدر»، «معلمان بازنشسته از درد دل‌هایشان می‌گویند»، «استعداد بی نظیر دو دانش آموز در شیپورنوازی با دهان؛ انگشت به دهان می‌مانید» را با کلیک بر تیتر آن بخوانید.                  ,"[3, 5, 2023]","[20, 40]","['مدرسهآنلاین', 'حمیدرضاالداغی', 'رئیسی', 'معلمان', 'روزمعلم', 'سعدی', 'معلمانبازنشسته', 'حکایت']"
                 فیلم معلم خوش ذوق و نقاشی هنرمندانه چهره شاگردان             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «نتایج جالب یک نظرسنجی پیرامون مدارس؛ والدین مدارس غیر دولتی را می‌پسندند یا دولتی؟»، «نهمین جشنواره فیلم کوتاه دانش آموزی مدرسه برگزار می‌شود»، «اعتراض به نمرات امتحانات نهایی آغاز شد»، «محسن یگانه به دادگاه احضار شد»، «واکنش ترمیت در شیمی چیست و چگونه است؟ توضیح به زبان ساده»، «لباس ۱۰ میلیاردی یک خانم ایرانی»، «اگه هندسه‌ت خیلی خوبه بگو شکل بعدی کدوم می‌شه؟»، «فیلم پاسخ بی ادبانه دانش آموز به درخواست دعای معلم»، «دارندگان کدام اسامی باید برای تغییر اقدام کنند؟»، «عوارض مصرف آکوتان یا نورم اسکین را جدی بگیرید» را با کلیک بر تیتر آن بخوانید.                  ,"[9, 7, 2023]","[20, 54]","['مدرسهآنلاین', 'شیمی', 'معلم', 'دعا', 'آکوتان', 'قرصنورماسکین', 'محسنیگانه', 'مدارسغیردولتی', 'جشنوارهفیلمکوتاه']"
                 ۸ عارضه مصرف بیش از حد پنیر از چاقی تا سرطان             ,                  زیاده‌روی در مصرف انواع پنیر می‌تواند عوارض جانبی زیادی داشته باشد و سلامت بدن را تحت تأثیر قرار دهد.                  ,"[4, 7, 2023]","[9, 20]","['پنیر', 'زیادهروی', 'عوارض', 'چاقی']"
                 عيسی پيراهن دربی را از هوادار پس گرفت و در رفت!             ,,"[16, 7, 2023]","[17, 7]","['عیسیآلکثیر', 'پرسپولیس', 'هوادارپرسپولیس']"
                 جشنواره کولرگازی و اسپلیت کم مصرف قسطی بدون بهره در تهران و کرج             ,,"[30, 4, 2023]","[10, 30]","['جشنوارهفروشکولرگازی', 'کولرگازیاقساطیبدونبهره', 'خریدکولرگازیقسطی', 'اسپیلتکممصرف', 'کولرگازی', 'کولرگازیوداکتاسپیلتبهاقلی', 'رپرتاژآگهی']"
                 ریزش قیمت ها در بازار خودرو + جدول             ,                  دیگر از روز و هفته گذشته و می‌توان گفت که حدود دو ماه است که قیمت خودرو روند نزولی خود را حفظ کرده و معاملات هم در رکود به سر می‌برد. حال تصویب واردات خودروهای کارکرده هم روی بازار سایه انداخته است.                  ,"[4, 7, 2023]","[14, 3]","['بازارخودرو', 'قیمتخودرو', 'ریزشقیمت']"
                 شکست سنگین و سریع تیم ایران مقابل فرانسه؛ بدون سرمربی و ستاره، توپ‌ها از ایفل رد نشد!             ,                  مردان والیبال ایران در ست‌های اول تا سوم این دیدار بدون انگیزه که امتیاراتش محاسبه نمی‌شد، با پوئن‌های ۲۵ بر ۱۸، ۲۵ بر ۲۲ و ۲۵ بر ۱۹ نتیجه را به قهرمان المپیک توکیو واگذار کردند تا هفتمین ناکامی خود در این رقابت‌ها را تجربه کنند.                  ,"[5, 7, 2023]","[5, 31]","['تیمملیوالیبال', 'لیگملتهایوالیبال', 'والیبالایران']"
                 اختصاصی تابناک از دلیل کارشکنی آمریکا در صدور ویزای تیم ملی والیبال / کتمان تخلف دو سال قبل توسط فدراسیون ایران / در فرودگاه شیکاگو چه گذشت؟             ,                  ماجرای مسافران ناشناس دوسال پیش اعزامی به شیکاگو چیست؟ سی نفر اضافه فعلی کیستند؟ چطور درباره وضعیت خدمت سربازی دو بازیکن اصلی تیم اطلاعات نادرست به سفارت آمریکا در آنکارا ارائه شده؟ فدراسیون چگونه از مدیر بازنده، قهرمان ساخت؟!                  ,"[3, 7, 2023]","[7, 1]","['تیمملیوالیبال', 'ویزایآمریکا', 'کارشکنیآمریکا', 'لیگملتهایوالیبال', 'محمدرضاداورزنی']"
                 افت ۵۰ هزاری قیمت سکه             ,                  سکه تمام بهار آزادی طرح جدید امروز با افت ۵۰ هزار تومانی به قیمت ۲۸ میلیون و ۴۲۱ هزار تومان معامله شد.                  ,"[29, 6, 2023]","[17, 12]","['سکهطرحقدیم', 'سکه', 'بازارسکهوطلا']"
                 نحوه مصاحبه علمی پذیرفته‌شدگان دکتری اعلام شد             ,                  نمره مصاحبه ارزیابی سوابق آموزشی، پژوهشی و فناوری و مصاحبه علمی و سنجش عملی براساس شیوه نامه ابلاغی که از سوی سازمان سنجش آموزش کشور به دانشگاه‌ها و موسسات آموزش عالی ارسال می‌گردد، صورت خواهد گرفت و دانشگاه‌ها برای تمامی افراد معرفی شده که در مصاحبه شرکت کرده اند، نمر‌های مطابق با شیوه نامه مذکور تعیین و برای گزینش نهایی به این سازمان ارسال می‌کنند.                  ,"[26, 4, 2023]","[13, 29]","['مصاحبهعلمی', 'سوابقعلمی', 'آزموندکتری']"
                 کدام نوشیدنی کاهش وزن را ۲ برابر می‌کند؟             ,                  ایسنا به نقل از هلث نوشت: نتایج تحقیقی نشان داد که جایگزینی آب با نوشیدنی‌های دیگر می‌تواند به کاهش وزن پنج پوندی (۲.۲۶۷ کیلوگرم) کمک کند.                  ,"[25, 6, 2023]","[12, 22]","['آب', 'کاهشوزن', 'سلامتبدن']"
                 بوتاکس چه خطرات احتمالی دارد؟             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[25, 4, 2023]","[20, 0]","['اسنپچت', 'شبکهاجتماعی', 'بوتاکس', 'عوارض', 'زیبایی', 'تابناکجوان']"
                 جشنواره گل و گلاب داراب             ,                  یازدهمین جشنواره گل و گلاب شهرستان داراب با حضور «سیدمحمد آقامیری» سرپرست وزارت جهاد کشاورزی در روستای لایزنگان استان فارس برگزار شد./رضا قادری                  ,"[27, 5, 2023]","[17, 57]","['رضاقادری', 'جشنوارهگلوگلاب', 'داراب']"
                 پیش بینی قیمت طلا، سکه و بیت کوین             ,                  امروز مطالبی همچون چرا قیمت سکه از ارزش ذاتی خود فاصله دارد؟، کدام شرکت‌های بورسی تحت تاثیر قیمت اوره قرار می‌گیرند؟، سود بورسی‌ها ۴ ماهه پرداخت می‌شود؟، افزایش سرمایه چند نماد بورسی و فرابورسی؛ در سایت نبض بورس قرار گرفته است.                  ,"[22, 4, 2023]","[13, 40]","['نبضبورس', 'بورس', 'سهام', 'بیتکوین']"
                 ۵۷ نفر علاوه بر دنا پلاس، شاسی بلند هم گرفتند             ,                  نماینده مجلس با بیان اینکه ماشین های که نمایندگان گرفتند رانت بوده است و اصل این خبر صحت دارد، گفت: ۵۷ نفر علاوه بر دنا پلاس خودروها شاسی بلند نیز گرفتند.                  ,"[8, 5, 2023]","[10, 20]","['ابوالفضلابوترابی', 'نمایندهمجلس', 'خودروشاسیبلند', 'نمایندگانمجلس', 'هیاتنظارتبررفتارنمایندگان', 'رانت']"
                 عربستان سعودی ۲ شیعه بحرینی را اعدام کرد             ,                  وزارت کشور عربستان سعودی از اجرای حکم اعدام دو جوان شیعه بحرینی خبر داد و ادعا کرد که این افراد متهم به تلاش برای ایجاد هرج‌ومرج در عربستان و بحرین بودند.                  ,"[29, 5, 2023]","[17, 56]","['باقردرویش', 'بحرین', 'عربستان']"
                 ویدئویی جدید و احساسی از معلم جنجالی قائمشهر             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «کارت شرکت در امتحانات نهایی آماده دریافت است»، «ماجرای هدیه غیر متعارف به برخی دانش آموزان دختر چه بود؟»، «قیمت و لیست فروش اقساطی مدیران خودرو به قیمت نمایندگی»، «چه کسی خواستار اعدام ترانه علیدوستی شد؟»، «ریشه و کاربرد مثلِ آدم زنده، وکیل و وصی نمی‌خواهد»، «جغد دانا با بچه ها حرف می زند»، «آیا می توانید در کمتر از ۲۵ ثانیه عدد ۸۸۸ را پیدا کنید؟ فقط ۱۰ درصد افراد موفق می شوند» را با کلیک بر تیتر آن بخوانید.                  ,"[19, 5, 2023]","[15, 32]","['مدرسهآنلاین', 'امتحاناتنهایی', 'هدیه', 'فروشاقساطی', 'مدیرانخودرو', 'ترانهعلیدوستی', 'اعدام', 'وکیل']"
                 هشدار جوی سطح زرد هواشناسی مازندران             ,                  اداره کل هواشناسی مازندران با اعلام هشدار جوی سطح زرد در استان، کاهش دما، بارندگی و برف در ارتفاعات را از روز یکشنبه برای مازندرانی‌ها پیش‌بینی کرده است.                  ,"[13, 5, 2023]","[8, 20]","['مازندران', 'هواشناسی', 'هشدار', 'بارشباران', 'کاهشدما', 'وزشبادشدید']"
                 مارکا: حق فسخ خمز با تراکتور در تیرماه! هدف لاکرونیا             ,,"[20, 6, 2023]","[20, 42]","['پاکوخمز', 'تراکتور', 'بندفسخ']"
                 دعوت رهبران اسرائیل برای سفر به امارات / اعدام سه جوان شیعه در عربستان / نخستین واکنش رژیم اسرائیل به مانور حزب‌الله لبنان/ نگرانی وزیر جنگ اسرائیل از توان نیرو دریایی ایران             ,                  دعوت رهبران اسرائیل برای سفر به امارات، اعدام سه جوان شیعه در عربستان، نخستین واکنش رژیم اسرائیل به مانور حزب‌الله لبنان، نگرانی وزیر جنگ اسرائیل از توان نیرو دریایی ایران و معرفی سفیر جدید ایران در عربستان، از مهم‌ترین خبر‌ها و رویداد‌های منطقه‌ای و بین المللی در ۲۴ ساعت گذشته بوده اند.                  ,"[23, 5, 2023]","[10, 0]","['تحولاتخاورمیانه', 'تحولاتبینالمللی', 'اروپا', 'چین', 'روسیه', 'ایرانوآمریکا', 'برجام', 'تایوان', 'اوکراین', 'جنگاوکراین', 'عراق', 'تحولاتاوکراین', 'تایوانوچین', 'ایران', 'آمریکا']"
                 حمله گسترده روسیه به اوکراین با ۳۰ موشک کروز / پولیتیکو: جنگ اوکراین شاید چند دهه طول بکشد             ,                  چهارصد و چهل و چهار روز از حمله روسیه به اوکراین با دستور ولادیمیر پوتین، رئیس جمهور این کشور می‌گذرد؛ تهاجمی که رویداد‌های بسیاری به دنبال داشته و منجر به تحریم گسترده روسیه از سوی بلوک غرب شده است و دورنمای مشخصی برای پایان آن نیز وجود ندارد.                  ,"[18, 5, 2023]","[21, 0]","['جنگاوکراین', 'آمریکا', 'اروپا', 'روسیه', 'چین', 'ناتو']"
                 گزارش جدید پنتاگون از بشقاب‌پرنده‌ها             ,                  دفتر یوفوی پنتاگون، نتیجه جدید تحقیقات خود درباره اشیای ناشناخته پرنده معروف به بشقاب‌پرنده‌ها را اعلام کرد.                  ,"[26, 4, 2023]","[9, 41]","['پنتاگون', 'بشقابپرنده', 'موجوداتفضایی', 'اشیاءپرنده', 'بیگانگانفضایی']"
                 شرایط پذیرش و تحصیل حشد الشعبی‌ها در ایران             ,                  وزیر علوم در خصوص شرایط پذیرش و تحصیل نیروهای حشد الشعبی عراق در دانشگاه‌های ایران توضیح داد.                  ,"[12, 7, 2023]","[15, 45]","['محمدعلیزلفی\u200cگل', 'وزیرعلوم', 'حشدالشعبی']"
                 تعیین نماینده ویژه از سوی چین برای پایان دادن به جنگ اوکراین/ فرمان پوتین برای توقیف اموال کشورهای متخاصم / رهگیری سه جنگنده روس توسط نیروی هوایی آلمان             ,                  چهارصد و بیست و سه روز از حمله روسیه به اوکراین با دستور ولادیمیر پوتین، رئیس جمهور این کشور می‌گذرد؛ تهاجمی که رویداد‌های بسیاری به دنبال داشته و منجر به تحریم گسترده روسیه از سوی بلوک غرب شده است و دورنمای مشخصی برای پایان آن نیز وجود ندارد.                  ,"[26, 4, 2023]","[21, 11]","['جنگاوکراین', 'روسیه', 'اروپا', 'چین', 'آمریکا', 'ناتو']"
                 باشگاه تراکتور و ذوب آهن محکوم شدند             ,                  کمیته وضعیت بازیکنان فدراسیون فوتبال آرای خود را در خصوص دو پرونده اعلام کرد.                  ,"[15, 5, 2023]","[11, 53]","['سایتفدراسیونفوتبال', 'حسینابراهیمی', 'تراکتور', 'ذوبآهن']"
                 توقیف اتوبوس حامل داروی قاچاق یک میلیاردی در خوی             ,                  فرمانده انتظامی آذربایجان‌غربی گفت: اتوبوس حامل داروی قاچاق به ارزش ۱۰ میلیارد ریال با عملیات منسجم پلیس امنیت اقتصادی در خوی توقیف و یک نفر نیز در این خصوص دستگیر شد.                  ,"[27, 6, 2023]","[9, 33]","['خوی', 'نیرویانتظامی', 'قاچاقدارو', 'توقیفاتوبوس']"
