Top pages,Clicks,Impressions,CTR,service,category,bato
https://www.tabnak.ir/fa/news/1176883/جشنواره-گل-و-گلاب-داراب,2667,22100,12.07%,1,3,0
https://www.tabnak.ir/fa/news/1172208/پیش-بینی-قیمت-طلا-سکه-و-بیت-کوین,2662,44394,6%,6,8,0
https://www.tabnak.ir/fa/news/1174354/۵۷-نفر-علاوه-بر-دنا-پلاس-شاسی-بلند-هم-گرفتند,2661,27738,9.59%,1,4,0
https://www.tabnak.ir/fa/news/1177151/عربستان-سعودی-۲-شیعه-بحرینی-را-اعدام-کرد,2650,42734,6.2%,1,1,0
https://www.tabnak.ir/fa/news/1175733/ویدئویی-جدید-و-احساسی-از-معلم-جنجالی-قائمشهر,2650,32935,8.05%,1,3,0
https://www.tabnak.ir/fa/news/1175064/هشدار-جوی-سطح-زرد-هواشناسی-مازندران,2644,32253,8.2%,1,4,0
https://www.tabnak.ir/fa/news/1179939/مارکا-حق-فسخ-خمز-با-تراکتور-در-تیرماه-هدف-لاکرونیا,2641,24189,10.92%,2,9,0
https://www.tabnak.ir/fa/news/1176310/دعوت-رهبران-اسرائیل-برای-سفر-به-امارات-اعدام-سه-جوان-شیعه-در-عربستان-نخستین-واکنش-رژیم-اسرائیل-به-مانور-حزب‌الله-لبنان-نگرانی-وزیر-جنگ-اسرائیل-از-توان-نیرو-دریایی-ایران,2626,37476,7.01%,1,0,0
https://www.tabnak.ir/fa/news/1175750/حمله-گسترده-روسیه-به-اوکراین-با-۳۰-موشک-کروزپولیتیکو-جنگ-اوکراین-شاید-چند-دهه-طول-بکشد,2617,24160,10.83%,1,0,0
https://www.tabnak.ir/fa/news/1172712/گزارش-جدید-پنتاگون-از-بشقاب‌پرنده‌ها,2613,23834,10.96%,1,2,0
https://www.tabnak.ir/fa/news/1182937/شرایط-پذیرش-و-تحصیل-حشد-الشعبی‌ها-در-ایران,2609,36552,7.14%,1,7,0
https://www.tabnak.ir/fa/news/1172830/تعیین-نماینده-ویژه-از-سوی-چین-برای-پایان-دادن-به-جنگ-اوکراین-فرمان-پوتین-برای-توقیف-اموال-کشورهای-متخاصم-رهگیری-سه-جنگنده-روس-توسط-نیروی-هوایی-آلمان,2603,40989,6.35%,1,0,0
https://www.tabnak.ir/fa/news/1175360/باشگاه-تراکتور-و-ذوب-آهن-محکوم-شدند,2600,17007,15.29%,1,0,0
https://www.tabnak.ir/fa/news/1180735/توقیف-اتوبوس-حامل-داروی-قاچاق-یک-میلیاردی-در-خوی,2595,35035,7.41%,1,5,0
https://www.tabnak.ir/fa/news/1183144/دیوان‌عدالت-در-تحلیل-قانون-خدمات‌کشوری-دچار-اشتباه-شده,2589,37540,6.9%,1,4,0
https://www.tabnak.ir/fa/news/1181533/آماده-شدن-حماس-برای-جنگ-همه-جانبه-با-اسرائیل-حمله-گسترده-زمینی-و-هوایی-اسرائیل-به-جنین-درگیری‌-شدید-ارتش-و-نیروهای-پشتیبانی-سریع-سودان-احضار-سفیر-سوئد-توسط-عربستان,2584,22373,11.55%,1,3,0
https://www.tabnak.ir/fa/news/1183062/پز-الکی-مسئولان-با-ورود-گردشگر-سلامت-از-۱۶۴-کشور-جهانی,2582,74292,3.48%,3,2,0
https://www.tabnak.ir/fa/news/1179713/تکمیل-تصاویر-رهبر-انقلاب-به-کمک-هوش-مصنوعی,2576,41384,6.22%,1,3,0
https://www.tabnak.ir/fa/news/1178194/میثاقی-روی-آنتن-زنده-علیه-قلعه‌نویی-چه-گفت,2575,22112,11.65%,2,4,0
https://www.tabnak.ir/fa/news/1180095/توافقات-مهم-تجاری-ایران-و-افغانستان,2569,35275,7.28%,1,5,0
https://www.tabnak.ir/fa/news/1180399/عکس-سایت-فدراسیون-جهانی-از-تکنیک-ناب-نیما-یعقوبی-ژیمناست-ایرانی,2537,35025,7.24%,2,9,0
https://www.tabnak.ir/fa/news/1177184/سلطانی‌زاده-تکرار-کشتی-سنگین‌وزن-شهامت-هیات-ژوری-بود,2529,34693,7.29%,2,4,0
https://www.tabnak.ir/fa/news/1181479/در-این-نقطه-کرۀ-زمین-کمترین-میزان-جاذبه-وجود-دارد,2525,30865,8.18%,1,9,0
https://www.tabnak.ir/fa/news/1180132/قالیباف-مانع-طرح-تحقیق‌وتفحص-از-سازمان-اوقاف-شد,2525,17884,14.12%,4,2,0
https://www.tabnak.ir/fa/news/1182173/آماده-باش-30-هزار-نیرو-و-تشکیل-سه-منطقه-دفاعی-ناتوکشف-تصاویر-عجیب-از-خانه-فرمانده-واگنر,2513,20550,12.23%,1,3,0
